Time (EET),Open,High,Low,Close,Volume
2025.11.03 01:00:00,3983.498,3990.348,3978.025,3984.048,50340.0
2025.11.03 01:01:00,3983.748,3990.848,3983.298,3990.548,47490.0
2025.11.03 01:02:00,3990.405,3992.348,3989.048,3991.948,53810.0
2025.11.03 01:03:00,3991.555,3997.598,3991.548,3995.625,47080.0
2025.11.03 01:04:00,3995.898,3996.498,3989.398,3994.498,30990.0
2025.11.03 01:05:00,3995.348,3996.398,3991.185,3993.198,32020.0
2025.11.03 01:06:00,3993.075,3994.398,3990.715,3991.448,19200.0
2025.11.03 01:07:00,3991.448,3992.049,3989.548,3991.225,30450.0
2025.11.03 01:08:00,3991.369,3992.765,3991.079,3992.765,31790.0
2025.11.03 01:09:00,3992.795,3995.185,3990.455,3991.898,31900.0
2025.11.03 01:10:00,3991.698,3994.195,3990.785,3994.195,17100.0
2025.11.03 01:11:00,3994.275,3994.875,3992.885,3994.095,11710.0
2025.11.03 01:12:00,3994.155,3995.785,3993.215,3994.405,14130.0
2025.11.03 01:13:00,3994.385,3995.595,3994.085,3995.035,16330.0
2025.11.03 01:14:00,3995.205,3995.898,3994.565,3995.705,13150.0
2025.11.03 01:15:00,3995.735,3996.198,3994.315,3994.405,10050.0
2025.11.03 01:16:00,3994.435,3996.195,3993.935,3995.455,9280.0
2025.11.03 01:17:00,3995.515,3998.625,3995.505,3997.535,19270.0
2025.11.03 01:18:00,3997.655,3997.935,3992.015,3992.125,15540.0
2025.11.03 01:19:00,3992.305,3995.225,3991.948,3993.485,21540.0
2025.11.03 01:20:00,3993.835,3993.925,3990.045,3990.555,22330.0
2025.11.03 01:21:00,3990.225,3990.595,3987.915,3990.225,21550.0
2025.11.03 01:22:00,3990.265,3993.065,3989.625,3992.235,17740.0
2025.11.03 01:23:00,3992.225,3993.975,3992.095,3992.215,12990.0
2025.11.03 01:24:00,3992.235,3994.115,3992.235,3993.245,10620.0
2025.11.03 01:25:00,3993.305,3995.505,3993.305,3995.335,11790.0
2025.11.03 01:26:00,3995.345,3995.595,3994.465,3995.195,8310.0
2025.11.03 01:27:00,3995.215,3995.335,3994.525,3994.975,6060.0
2025.11.03 01:28:00,3994.548,3995.448,3994.548,3995.345,4260.0
2025.11.03 01:29:00,3995.325,3995.325,3993.345,3994.198,20860.0
2025.11.03 01:30:00,3993.598,3995.098,3993.398,3993.398,27810.0
2025.11.03 01:31:00,3993.398,3994.698,3993.298,3993.698,17830.0
2025.11.03 01:32:00,3993.698,3994.825,3993.698,3994.825,11090.0
2025.11.03 01:33:00,3994.815,3995.425,3994.675,3994.675,6720.0
2025.11.03 01:34:00,3994.705,3994.885,3990.065,3990.855,39550.0
2025.11.03 01:35:00,3990.835,3991.985,3987.998,3988.068,46440.0
2025.11.03 01:36:00,3988.098,3988.348,3986.805,3987.408,41750.0
2025.11.03 01:37:00,3987.468,3987.468,3986.528,3986.598,20310.0
2025.11.03 01:38:00,3986.618,3987.398,3983.248,3983.765,41390.0
2025.11.03 01:39:00,3983.718,3987.695,3983.718,3987.165,26360.0
2025.11.03 01:40:00,3987.135,3987.245,3985.775,3986.185,12700.0
2025.11.03 01:41:00,3986.135,3986.505,3983.815,3984.405,21820.0
2025.11.03 01:42:00,3984.425,3984.675,3983.225,3983.225,12840.0
2025.11.03 01:43:00,3983.255,3983.915,3977.498,3980.155,55640.0
2025.11.03 01:44:00,3980.175,3982.745,3978.325,3978.565,25800.0
2025.11.03 01:45:00,3978.625,3980.148,3977.498,3978.795,31440.000000000004
2025.11.03 01:46:00,3978.765,3979.875,3977.755,3978.665,17940.0
2025.11.03 01:47:00,3978.045,3979.145,3977.765,3977.925,11530.0
2025.11.03 01:48:00,3977.815,3980.035,3977.815,3979.675,12620.0
2025.11.03 01:49:00,3979.135,3981.245,3978.855,3980.698,13330.0
2025.11.03 01:50:00,3980.698,3982.365,3979.398,3982.325,29660.0
2025.11.03 01:51:00,3982.295,3984.798,3981.035,3981.315,36180.0
2025.11.03 01:52:00,3981.315,3982.515,3977.885,3978.248,37400.0
2025.11.03 01:53:00,3978.248,3981.205,3977.415,3980.665,30020.0
2025.11.03 01:54:00,3980.745,3981.555,3979.865,3980.555,10900.0
2025.11.03 01:55:00,3980.515,3982.905,3979.685,3982.185,12300.0
2025.11.03 01:56:00,3982.185,3982.485,3978.685,3979.155,16049.999999999998
2025.11.03 01:57:00,3979.075,3979.395,3978.045,3978.075,9780.0
2025.11.03 01:58:00,3978.105,3979.275,3977.855,3978.685,12250.0
2025.11.03 01:59:00,3978.705,3980.225,3978.705,3979.435,9210.0
2025.11.03 02:00:00,3979.285,3981.855,3977.865,3981.835,23770.0
2025.11.03 02:01:00,3981.995,3987.545,3980.945,3985.335,46800.0
2025.11.03 02:02:00,3985.295,3986.555,3980.355,3982.245,34560.0
2025.11.03 02:03:00,3982.235,3982.505,3978.685,3979.835,18030.0
2025.11.03 02:04:00,3979.875,3980.375,3978.245,3979.505,12210.0
2025.11.03 02:05:00,3979.545,3980.105,3977.985,3979.655,15450.0
2025.11.03 02:06:00,3979.685,3980.055,3978.435,3979.095,15470.0
2025.11.03 02:07:00,3979.055,3979.435,3977.945,3978.365,12120.0
2025.11.03 02:08:00,3978.345,3979.015,3977.915,3978.475,15000.0
2025.11.03 02:09:00,3978.465,3978.975,3977.915,3977.935,11220.0
2025.11.03 02:10:00,3978.135,3978.925,3977.855,3978.745,15240.0
2025.11.03 02:11:00,3978.795,3979.175,3977.955,3979.175,17520.0
2025.11.03 02:12:00,3979.145,3979.745,3978.385,3979.385,15600.0
2025.11.03 02:13:00,3979.305,3979.305,3973.615,3973.985,13840.0
2025.11.03 02:14:00,3973.935,3974.995,3966.089,3967.975,63390.0
2025.11.03 02:15:00,3967.955,3968.985,3963.725,3968.395,80320.0
2025.11.03 02:16:00,3968.345,3969.665,3964.625,3965.085,36590.0
2025.11.03 02:17:00,3965.115,3965.325,3962.635,3963.295,33510.0
2025.11.03 02:18:00,3963.385,3965.995,3962.765,3965.755,26410.0
2025.11.03 02:19:00,3965.745,3965.775,3962.955,3963.165,24780.0
2025.11.03 02:20:00,3963.145,3965.065,3962.325,3964.995,25890.0
2025.11.03 02:21:00,3964.835,3965.975,3963.125,3963.475,25570.0
2025.11.03 02:22:00,3963.505,3969.695,3963.505,3969.685,29580.0
